line	kind	text
1	prose	# LOLCODE Specification 1.3
3	prose	DRAFT &mdash; 12 July 2007*
5	bullet	*The goal of this specification is to advance the LOLCODE 1.2 specification with generally agreed-upon proposals from the original forum and site. These proposals add language constructs and functionality that make LOLCODE more similar to what programmers have come to expect from other modern programming languages.*
7	bullet	*Date reflects latest documented proposal.
9	prose	Archived references:
11	bullet	* [Original goals for the 1.3 specification proposal](https://web.archive.org/web/20130113074443/http://lolcode.com/proposals/1.3/1.3)
13	prose	---
15	heading	Formatting
17	heading	Whitespace
19	bullet	*(from 1.2)*
21	bullet	* Spaces are used to demarcate tokens in the language, although some keyword constructs may include spaces.
23	bullet	* Multiple spaces and tabs are treated as single spaces and are otherwise irrelevant.
25	bullet	* Indentation is irrelevant.
27	bullet	* A command starts at the beginning of a line and a newline indicates the end of a command, except in special cases.
29	bullet	* A newline will be Carriage Return (/13), a Line Feed (/10) or both (/13/10) depending on the implementing system. This is only in regards to LOLCODE code itself, and does not indicate how these should be treated in strings or files during execution.
31	bullet	* Multiple commands can be put on a single line if they are separated by a comma (,). In this case, the comma acts as a virtual newline or a soft-command-break.
33	bullet	* Multiple lines can be combined into a single command by including three periods (...) or the unicode ellipsis character (u2026) at the end of the line. This causes the contents of the next line to be evaluated as if it were on the same line.
35	bullet	* Lines with line continuation can be strung together, many in a row, to allow a single command to stretch over more than one or two lines. As long as each line is ended with three periods, the next line is included, until a line without three periods is reached, at which point, the entire command may be processed.
37	bullet	* A line with line continuation may not be followed by an empty line.
38	normative	Three periods may be by themselves on a single line, in which case, the empty line is "included" in the command (doing nothing), and the next line is included as well.
40	bullet	* A single-line comment is always terminated by a newline. Line continuation (...) and soft-command-breaks (,) after the comment (`BTW`) are ignored.
42	bullet	* Line continuation and soft-command-breaks are ignored inside quoted strings. An unterminated string literal (no closing quote) will cause an error.
44	heading	Comments
46	bullet	*(from 1.1)*
48	normative	Single line comments are begun by `BTW`, and may occur either after a line of code, on a separate line, or following a line of code following a line separator (,).
50	normative	All of these are valid single line comments:
52	code	```
53	code	I HAS A VAR ITZ 12          BTW VAR = 12
54	prose	```
56	code	```
57	code	I HAS A VAR ITZ 12,         BTW VAR = 12
58	prose	```
60	code	```
61	code	I HAS A VAR ITZ 12
62	code	BTW VAR = 12
63	prose	```
65	normative	Multi-line comments are begun by `OBTW` and ended with `TLDR`, and should be started on their own lines, or following a line of code after a line separator.
67	normative	These are valid multi-line comments:
69	code	```
70	code	I HAS A VAR ITZ 12
71	code	OBTW this is a long comment block
72	code	see, i have more comments here
73	code	and here
74	code	TLDR
75	code	I HAS A FISH ITZ BOB
76	prose	```
78	code	```
79	code	I HAS A VAR ITZ 12,  OBTW this is a long comment block
80	code	see, i have more comments here
81	code	and here
82	code	TLDR, I HAS A FISH ITZ BOB
83	prose	```
85	heading	File Creation
87	bullet	*(from 1.2)*
89	normative	All LOLCODE programs must be opened with the command `HAI`. `HAI` should then be followed with the current LOLCODE language version number (1.3, in this case). There is no current standard behavior for implementations to treat the version number, though.
91	normative	A LOLCODE file is closed by the keyword `KTHXBYE` which closes the `HAI` code-block.
93	prose	---
95	heading	Variables
97	heading	Memory
99	prose	All variables are merely references to locations in memory. It is assumed that when a variable is no longer referenced, that variable's allocated space will be freed sometime in the future, or on program exit.
101	heading	Scope
103	bullet	*(to be revisited and refined)*
105	normative	All variable scope, as of this version, is local to the enclosing function or to the main program block. Variables are only accessible after declaration, and there is no global scope.
107	heading	Naming
109	bullet	*(from 1.1)*
111	normative	Variable identifiers may be in all small or lowercase letters (or a mixture of the two). They must begin with a letter and may be followed only by other letters, numbers, and underscores. No spaces, dashes, or other symbols are allowed. Variable identifiers are CASE SENSITIVE – "cheezburger", "CheezBurger" and "CHEEZBURGER" would all be different variables.
113	heading	Declaration
115	bullet	*(updated from 1.2)*
117	normative	To declare a variable, the keyword is `I HAS A` followed by the variable name. To assign the variable a value within the same statement, you can then follow the variable name with `ITZ <value>`.
119	code	```
120	syntax	I HAS A <variable> ITZ <value>
121	prose	```
123	normative	This instantiates and initializes a variable. If the value is a literal, the variable is initialized to the appropriate object type (YARN, TROOF, NOOB, NUMBR, NUMBAR). If the value is an identifier or expression, the variable is initialized to the resulting expression.
125	code	```
126	syntax	I HAS A <variable> ITZ A <type>
127	prose	```
129	prose	This instatiates a variable, and initializes it to a default value.
131	prose	Built-In default values:
133	bullet	* YARN - ""
134	bullet	* TROOF - FAIL
135	bullet	* NUMBR - 0
136	bullet	* NUMBAR - 0.0
137	bullet	* NOOB - NOOB
139	code	```
140	syntax	I HAS A <variable>
141	prose	```
143	prose	This instatiates a variable and initializes it to NOOB. It is shorthand for I HAS A <variable> ITZ NOOB
145	normative	Function types are declared/initialized using the HOW DUZ I / IF U SAY SO blocks, however they behave the same as variables. For example:
147	code	```
148	code	HOW DUZ I var YR stuff
149	code	BTW implement
150	code	IF U SAY SO
152	code	I HAS A var ITZ 0  BTW Throws an error AS var is already taken
154	code	var R 0 BTW FUNIKSHUN var no longer exists, it's now NUMBR-0
155	prose	```
156	heading	Deallocation
158	code	```
159	syntax	<variable> R NOOB
160	code	```
162	code	This above code ensures that a variable no longer references anything. The reference still exists on the current scope and still requires a small amount of memory. If this was the last reference to an object, it will be garbage collected in the future.
164	code	### Primitive Types
166	code	All primitive types are considered Immutable. All built in operations return new objects instead of references to old objects. The exceptions to this rule are WIN, FAIL and NOOB. Every TROOF reference is either the WIN or FAIL object. Every NOOB reference is to the NOOB instance.
168	code	### SRS (serious) Cast
170	code	The SRS operation can be used to interpret a YARN (or something castable to a YARN) as an identifier. This operator may be used anywhere that a regular identifier is expected.
172	prose	```
173	prose	SRS <expression>
174	prose	```
176	prose	Examples:
178	code	```
179	code	I HAS A var ITZ 0
180	prose	```
182	prose	Is the same as:
184	code	```
185	code	I HAS A name ITZ "var"
186	code	I HAS A  SRS name ITZ 0
187	prose	```
189	normative	The A becomes optional in variable declaration so:
191	code	```
192	code	I HAS A SRS name ITZ 0
193	prose	```
195	prose	is the same as
197	code	```
198	code	I HAS SRS name ITZ 0
199	prose	```
201	heading	Assignment
203	bullet	*(from 1.2)*
205	normative	Assignment of a variable is accomplished with an assignment statement, `<variable> R <expression>`
207	code	```
208	code	I HAS A VAR            BTW VAR is null and untyped
209	code	VAR R "THREE"          BTW VAR is now a YARN and equals "THREE"
210	code	VAR R 3                BTW VAR is now a NUMBR and equals 3
211	prose	```
213	prose	---
215	heading	Types
217	bullet	*(from 1.2)*
219	normative	The variable types that LOLCODE currently recognizes are: strings (YARN), integers (NUMBR), floats (NUMBAR), and booleans (TROOF) (Arrays (BUKKIT) are reserved for future expansion.) Typing is handled dynamically. Until a variable is given an initial value, it is untyped (NOOB). ~~Casting operations operate on TYPE types, as well.~~
221	heading	Untyped
223	normative	The untyped type (NOOB) cannot be implicitly cast into any type except a TROOF. A cast into TROOF makes the variable FAIL. Any operations on a NOOB that assume another type (e.g., math) results in an error.
225	prose	Explicit casts of a NOOB (untyped, uninitialized) variable are to empty/zero values for all other types.
227	heading	Booleans
229	prose	The two boolean (TROOF) values are WIN (true) and FAIL (false). The empty string (""), an empty array, and numerical zero are all cast to FAIL. All other values evaluate to WIN.
231	heading	Numerical Types
233	normative	A NUMBR is an integer as specified in the host implementation/architecture. Any contiguous sequence of digits outside of a quoted YARN and not containing a decimal point (.) is considered a NUMBR. A NUMBR may have a leading hyphen (-) to signify a negative number.
235	normative	A NUMBAR is a float as specified in the host implementation/architecture. It is represented as a contiguous string of digits containing exactly one decimal point. Casting a NUMBAR to a NUMBR truncates the decimal portion of the floating point number. Casting a NUMBAR to a YARN (by printing it, for example), truncates the output to a default of two decimal places. A NUMBAR may have a leading hyphen (-) to signify a negative number.
237	normative	Casting of a string to a numerical type parses the string as if it were not in quotes. If there are any non-numerical, non-hyphen, non-period characters, then it results in an error. Casting WIN to a numerical type results in "1" or "1.0"; casting FAIL results in a numerical zero.
239	heading	Strings
241	normative	String literals (YARN) are demarked with double quotation marks ("). Line continuation and soft-command-breaks are ignored inside quoted strings. An unterminated string literal (no closing quote) will cause an error.
243	prose	Within a string, all characters represent their literal value except the colon (:), which is the escape character. Characters immediately following the colon also take on a special meaning.
245	bullet	* :) represents a newline (\n)
246	bullet	* :> represents a tab (\t)
247	bullet	* :o represents a bell (beep) (\g)
248	bullet	* :" represents a literal double quote (")
249	bullet	* :: represents a single literal colon (:)
251	normative	The colon may also introduce more verbose escapes enclosed within some form of bracket.
253	bullet	* :(`<hex>`) resolves the hex number into the corresponding Unicode code point.
254	bullet	* :{`<var>`} interpolates the current value of the enclosed variable, cast as a string.
255	bullet	* :[`<char name>`] resolves the `<char name>` in capital letters to the corresponding Unicode [normative name](http://www.unicode.org/Public/4.1.0/ucd/NamesList.txt).
257	heading	Types
259	normative	The TYPE type only has the values of TROOF, NOOB, NUMBR, NUMBAR, YARN, and TYPE, as bare words. They may be legally cast to TROOF (all true except for NOOB) or YARN.
261	bullet	*TYPEs are under current review. Current sentiment is to delay defining them until user-defined types are relevant, but that would mean that type comparisons are left unresolved in the meantime.*
263	prose	---
265	heading	Operators
267	heading	Calling Syntax and Precedence
